#Column _RAJ2000	(A10)		Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[pos.eq.ra]
#Column _DEJ2000	(A9)		Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[pos.eq.dec]
#Column HIP	(I6)		? Hipparcos identification (Cat. <I/239>) [NULL integer written as an empty string]	[]
#Column f_HIP	(A)		[1] Star with H{alpha} emission (see Table 3)	[]
#Column Name	(A)		Stellar name	[]
#Column SpType	(A2)		Spectral type	[]
#Column e_SpType	Error in SpType	[]
#Column AV	(F5.2)		Extinction in the V band	[]
#Column e_AV	(F5.2)		The 1{sigma} error in AV	[]
#Column Jmag	(F5.2)		The J band magnitude (1)	[]
#Column J-H	(F5.2)		The (J-H) color index (1)	[]
#Column H-Ks	(F5.2)		The (H-K_S_) color index (1)	[]
#Column logT	(F5.2)		Log of the stellar effective temperature	[]
#Column logL	(F5.2)		Log of the stellar luminosity	[]
#Column Mass	(F4.1)		? Stellar mass	[]
#Column Simbad	(A)		ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[]
#Column _RA	(F8.4)		Right Ascension (J2000) from SIMBAD (not part of the original data)	[pos.eq.ra;meta.main]
#Column _DE	(F8.4)		Declination (J2000) from SIMBAD (not part of the original data)	[pos.eq.dec;meta.main]
#Column Loc	(A)		Location (association name)	[]
_RAJ2000	_DEJ2000	HIP	f_HIP	Name	SpType	e_SpType	AV	e_AV	Jmag	J-H	H-Ks	logT	logL	Mass	Simbad	_RA	_DE	Loc
"h:m:s"	"d:m:s"						mag	mag	mag	mag	mag	[K]	[solLum]	solMass		deg	deg	
05 27 09.4	-01 22 02	25496		HD35792	B3	1	0.15	0.1	7.49	-0.15	0.0	4.27	2.91	6.4	Simbad	81.7891	-1.3674	Orion OB1a
05 31 29.9	+01 41 24	25881		HD36392	B3	1	0.16	0.12	7.76	-0.13	-0.05	4.26	2.75	5.9	Simbad	82.8745	1.69	Orion OB1a
05 33 07.3	-01 43 02	26020		HD36646	B3	1	0.24	0.12	6.72	-0.12	0.04	4.26	3.42	7.6	Simbad	83.2806	-1.7174	Orion OB1bc
05 35 12.8	-00 44 07	26213		HD36954	B3	1	0.24	0.12	7.12	-0.03	0.01	4.26	3.27	7.0	Simbad	83.8033	-0.7354	Orion OB1bc
05 35 35.9	-03 15 10	26263		HD37055	B3	1	0.18	0.11	6.59	-0.13	0.0	4.26	3.46	7.7	Simbad	83.8996	-3.2528	Orion OB1bc
05 41 08.1	-03 37 57	26766		HD37807	B3	1	0.25	0.13	8.12	-0.08	-0.03	4.27	2.91	6.4	Simbad	85.2839	-3.6326	Orion OB1bc
05 13 39.1	-03 37 19	24367		HD33928	B4	2	0.07	0.11	7.31	-0.05	-0.05	4.22	2.81	5.0	Simbad	78.4127	-3.622	Orion OB1a
05 22 51.0	+03 33 08	25145		HD35148	B4	1	0.15	0.09	7.35	-0.11	-0.02	4.23	2.83	5.0	Simbad	80.7126	3.5522	Orion OB1a
05 24 36.1	+02 21 11	25288		HD35407	B4	1	0.09	0.1	6.6	-0.07	-0.06	4.25	3.19	6.7	Simbad	81.1504	2.3532	Orion OB1a
05 26 54.3	+03 36 53	25477		HD35730	B4	1	0.1	0.09	7.51	-0.11	0.0	4.25	2.83	5.1	Simbad	81.7261	3.6147	Orion OB1a
05 27 45.8	-02 08 44	25557		HD35899	B4	1	0.06	0.08	7.78	-0.08	-0.05	4.22	2.63	5.0	Simbad	81.9407	-2.1455	Orion OB1a
05 28 45.3	+01 38 38	25648		HD36013	B4	1	0.03	0.08	7.19	-0.1	-0.02	4.23	2.88	5.3	Simbad	82.1887	1.6439	Orion OB1a
05 35 22.3	-04 25 28	26234		HD37016	B4	1	0.03	0.1	6.48	-0.09	-0.02	4.23	3.39	7.4	Simbad	83.843	-4.4243	Orion OB1bc
05 37 45.9	-00 46 42	26464		HD37332	B4	1	0.1	0.1	7.91	-0.05	-0.05	4.23	2.87	5.2	Simbad	84.4412	-0.7783	Orion OB1bc
05 04 54.5	-03 02 23	23643		HD32686	B5	1	0.08	0.05	6.26	-0.05	-0.04	4.2	3.18	6.1	Simbad	76.2272	-3.0397	Orion OB1a
05 37 14.5	-01 40 04	26405		HD37272	B5	1	0.15	0.09	8.04	-0.06	0.07	4.21	2.74	4.9	Simbad	84.3105	-1.6677	Orion OB1bc
05 37 34.8	-01 25 20	26439		HD37321	B5	1	0.15	0.07	7.28	0.03	0.01	4.2	3.02	5.2	Simbad	84.395	-1.4221	Orion OB1bc
05 39 01.5	-02 38 56	26579		HD37525	B5	1	0.18	0.07	8.13	0.03	0.01	4.18	2.62	4.5	Simbad	84.7562	-2.649	Orion OB1bc
05 39 02.4	-05 11 40	26581		HD37526	B5	1	0.08	0.09	7.83	-0.04	-0.03	4.2	2.81	4.8	Simbad	84.76	-5.1945	Orion OB1bc
05 48 46.0	+00 43 32	27452	1	HD38856	B5	1	0.03	0.08	7.35	-0.03	0.11	4.18	2.89	4.9	Simbad	87.1915	0.7256	Orion OB1bc
05 18 01.0	-00 02 16	24709		HD34511	B6	1	0.05	0.08	7.64	-0.06	-0.04	4.16	2.54	4.3	Simbad	79.5041	-0.0377	Orion OB1a
05 25 01.2	-02 48 56	25327		HD35502	B6	1	0.26	0.06	7.39	-0.03	-0.01	4.14	2.58	4.4	Simbad	81.255	-2.8155	Orion OB1a
05 27 44.7	-01 48 47	25552		HD35882	B6	1	0.14	0.06	7.87	-0.05	0.04	4.13	2.34	3.9	Simbad	81.9363	-1.8131	Orion OB1a
05 28 48.5	+02 09 53	25655	1	V1372 Ori	B6	1	0.18	0.06	7.44	-0.06	0.12	4.17	2.71	4.6	Simbad	82.2019	2.1647	Orion OB1a
05 31 41.2	+02 49 58	25897		HD36429	B6	1	0.01	0.06	7.74	-0.08	0.0	4.14	2.4	4.0	Simbad	82.9218	2.8328	Orion OB1a
05 33 08.9	+03 07 52	26024		HD36627	B6	1	0.1	0.06	7.78	-0.08	0.02	4.16	2.48	4.2	Simbad	83.2871	3.1311	Orion OB1a
05 37 53.5	+00 58 07	26476	1	HD37330	B6	1	0.13	0.06	7.63	-0.04	-0.01	4.13	2.47	4.1	Simbad	84.4727	0.9686	Orion OB1a
05 37 56.3	+00 59 15	26481	1	HD37342	B6	1	0.0	0.06	8.26	-0.08	-0.03	4.15	2.23	3.7	Simbad	84.4844	0.9874	Orion OB1a
05 35 09.2	-00 16 11	26210		HD36935	B6	1	0.05	0.08	7.76	-0.07	-0.02	4.15	2.71	4.6	Simbad	83.7884	-0.2696	Orion OB1bc
05 36 17.8	-01 38 07	26319		HD37149	B6	1	0.1	0.07	8.16	-0.14	0.0	4.14	2.5	4.2	Simbad	84.0743	-1.6353	Orion OB1bc
05 02 44.6	+03 27 28	23473		HD32359	B7	1	0.07	0.05	7.51	-0.1	0.03	4.12	2.48	4.1	Simbad	75.6856	3.4577	Orion OB1a
05 23 10.1	+01 08 23	25179		HD35203	B7	1	0.1	0.1	8.08	-0.03	-0.03	4.11	2.2	3.6	Simbad	80.7923	1.1396	Orion OB1a
