MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE SP_LETTER
"b'BD-06  1248'" 84.00545833333332 -6.837305555555555 6 6 -- -- 0 D O b'2001AJ....122.3466M' b'F2' D b'1967MmSAI..38..169B' F
"b'Brun 620'" 83.81447083333332 -6.137361111111112 7 7 70.000 70.000 90 B I b'2003yCat.2246....0C' b'F7V' D b'' F
"b'[RHS2000] 3-117'" 84.30833333333332 -5.126944444444444 5 5 -- -- 0 D "" b'2000AJ....119.3026R' b'F6' D b'' F
"b'Brun 1018'" 84.16124999999998 -5.472777777777778 5 5 -- -- 0 D "" b'' b'B6V' D b'' B
"b'* c Ori'" 83.84651749999999 -4.8383577777777775 9 9 9.500 5.810 90 A O b'2007A&A...474..653V' b'B1V' C b'' B
"b'BD-06  1253'" 84.10596458333332 -6.716023611111111 9 9 32.180 23.060 90 A O b'2007A&A...474..653V' b'A1e' D b'2006ApJ...653..657M' A
"b'BD-06  1250'" 84.02520499999999 -6.327484166666666 8 8 33.140 24.520 90 B "" b'1998A&A...335L..65H' b'F9IV' D b'2001A&A...373..159C' F
"b'Brun 1103'" 84.3809125 -5.303744444444444 7 7 89.000 67.000 0 B O b'2000A&A...355L..27H' b'F8IV' D b'' F
"b'TYC 4778-294-1'" 84.24298833333332 -7.047626944444445 8 8 59.130 59.090 90 B "" b'1998A&A...335L..65H' b'F9.0' D b'2013ApJ...764..114H' F
"b'Brun 885'" 83.95749583333333 -5.674375 7 7 70.000 70.000 0 B N b'2003yCat.2246....0C' b'F6IV' D b'' F
"b'2MASS J05343873-0521250'" 83.66140833333333 -5.356966666666667 7 7 60.000 60.000 90 B I b'2003yCat.2246....0C' b'<M2:' E b'2013AJ....146...85H' <
"b'HD  37174'" 84.11327999999997 -5.408698888888889 8 8 22.490 22.430 90 B "" b'1998A&A...335L..65H' b'B9V' C b'1999MSS...C05....0H' B
"b'* tet01 Ori F'" 83.81968166666665 -5.3903244444444445 9 9 -- -- 0 B N b'2012ApJ...749..180C' b'B8' D b'1950ApJ...111...15H' B
"b'HD  36712'" 83.36587374999999 -6.04896 8 8 28.580 19.970 90 B "" b'1998A&A...335L..65H' b'A2IV' C b'1999MSS...C05....0H' A
"b'BD-06  1260'" 84.32636666666666 -6.436627777777778 7 7 50.000 44.000 92 B O b'2000A&A...355L..27H' b'F6.0' D b'2013ApJ...764..114H' F
"b'HD  37208'" 84.16116833333331 -5.131502222222222 8 8 25.540 24.720 0 B "" b'1998A&A...335L..65H' b'A9IV/V' D b'1999MSS...C05....0H' A
"b'HD  37303'" 84.36398791666666 -5.938390833333334 9 9 3.520 2.380 90 A O b'2007A&A...474..653V' b'B2V(n)' C b'1999MSS...C05....0H' B
"b'HD  36918'" 83.70468374999999 -6.006361388888889 8 8 41.660 26.990 0 B "" b'1998A&A...335L..65H' b'B8.3' D b'2013ApJ...764..114H' B
"b'* tet01 Ori C'" 83.81859874999998 -5.38968 9 9 42.090 28.600 90 A O b'2007A&A...474..653V' b'O7Vp' C b'2011ApJS..193...24S' O
"b'BD-06  1228'" 83.55234875 -6.8621791666666665 8 8 33.770 27.440 0 B "" b'1998A&A...335L..65H' b'A5' D b'' A
"b'HD  37061'" 83.88068666666666 -5.267384444444445 9 9 5.890 3.610 90 A O b'2007A&A...474..653V' b'O9V' D b'2012AJ....144..130B' O
"b'HD  37150'" 84.06261416666665 -5.647923333333333 9 9 5.100 3.170 90 A O b'2007A&A...474..653V' b'B3III/IV' D b'1999MSS...C05....0H' B
"b'V* NV Ori'" 83.88070416666666 -5.5524555555555555 7 7 70.000 60.000 0 B I b'2003yCat.2246....0C' b'F6IIIe' C b'2001A&A...378..116M' F
"b'HD  37357'" 84.44616041666666 -6.708402777777778 8 8 35.680 24.530 90 B "" b'1998A&A...335L..65H' b'A1V' C b'2003AJ....126.2971V' A
"b'BD-06  1229'" 83.58798458333331 -6.653874166666667 8 8 38.770 38.040 0 B "" b'1998A&A...335L..65H' b'F7.0' D b'2013ApJ...764..114H' F
"b'Brun 328'" 83.66662499999998 -5.168638888888889 6 6 60.000 60.000 90 B I b'2003yCat.2246....0C' b'A0' D b'' A
"b'BD-06  1236'" 83.78774166666666 -6.2388972222222225 7 7 70.000 70.000 90 B I b'2003yCat.2246....0C' b'F9.0' D b'2013ApJ...764..114H' F
"b'UCAC2  29222555'" 83.95661249999999 -7.020894444444444 7 7 5.000 5.000 90 B O b'2003yCat.1289....0Z' b'F7.0' D b'2013ApJ...764..114H' F
"b'HD 294223'" 83.42160291666666 -5.013885 8 8 52.540 34.420 90 B "" b'1998A&A...335L..65H' b'F8' E b'1995A&AS..110..367N' F
"b'V* V541 Ori'" 83.35181249999998 -5.354575 7 7 97.000 78.000 0 B O b'2000A&A...355L..27H' b'F7' D b'' F
"b'Brun 1057'" 84.27695833333333 -5.166222222222222 6 6 70.000 60.000 90 B I b'2003yCat.2246....0C' b'F3' D b'' F
"b'BD-05  1322'" 83.85902916666664 -5.804622222222222 7 7 70.000 70.000 90 B I b'2003yCat.2246....0C' b'A6Vn' D b'' A
"b'TYC 4778-1230-1'" 84.20259166666665 -6.764466666666666 7 7 70.000 60.000 90 B I b'2003yCat.2246....0C' b'B7.4' D b'2013ApJ...764..114H' B
